app_name	package_name	category	subcategory	cate
Slides	com.google.android.apps.docs.editors.slides	work		work
Word	com.microsoft.office.word	work		work
Office App	com.officedocument.word.docx.document.viewer	work		work
Canva	com.canva.editor	work		work
Sheets	com.google.android.apps.docs.editors.sheets	work		work
Excel	com.microsoft.office.excel	work		work
WPS Office	cn.wps.moffice_eng	work		work
M365 Copilot	com.microsoft.office.officehubrow	work		work
Adobe Acrobat	com.adobe.reader	work		work
All PDF Reader	pdf.pdfreader.viewer.editor.free	work		work
SuperVPN	com.jrzheng.supervpnfree	vpn		vpn
Turbo VPN	free.vpn.unblock.proxy.turbovpn	vpn		vpn
Secure VPN	com.fast.free.unblock.secure.vpn	vpn		vpn
BIGO LIVE	sg.bigo.live	video		video
VidMate	com.video.fun.app	video		video
Snaptube	com.snaptube.premium	video		video
VidMate	com.nemo.vidmate	video		video
Video Downloader & Ace Player	videoplayer.videodownloader.downloader	video		video
Netflix	com.netflix.mediaclient	video		video
Bongo	com.bongo.bongobd	video		video
Chorki	com.prothomalo	video		video
hoichoi	com.viewlift.hoichoi	video		video
HD STREAMZ	insure.cable.estate	video		video
Binge	buzz.binge.mobile	video		video
Bioscope	com.bongo.bioscope	video		video
Sony LIV	com.sonyliv	video		video
Prime Video	com.amazon.avod.thirdpartyclient	video		video
MX Player	com.mxtech.videoplayer.ad	video		video
PLAYit	com.playit.videoplayer	video		video
Lark Player	com.dywx.larkplayer	video		video
VLC	org.videolan.vlc	video		video
YT Studio	com.google.android.apps.youtube.creator	video		video
TikTok	com.zhiliaoapp.musically	video	short	videoshort
Toffee	com.banglalink.toffee	video	short	videoshort
TikTok Lite	com.zhiliaoapp.musically.go	video	short	videoshort
KUKU TV	com.vlv.aravali.reels	video	short	videoshort
Rail Sheba	com.shohoz.dtrainpwa	travel		travel
Shohoz - Buy Bus Tickets	com.shohoz.bus.android	travel		travel
Booking.com	com.booking	travel		travel
GoZayaan	com.gozayaan.app	travel		travel
US-Bangla Airlines	com.stsbd.fahim.usbangla	travel		travel
Pathao	com.pathao.user	travel		travel
Uber	com.ubercab	travel		travel
Uber Driver	com.ubercab.driver	travel		travel
Jatri	com.jatri.jatriuser	travel		travel
inDrive	sinet.startup.inDriver	travel		travel
Eyecon	com.eyecon.global	telcom		telcom
Meet	com.google.android.apps.tachyon	telcom		telcom
Zoom	us.zoom.videomeetings	telcom		telcom
WhatsApp Business	com.whatsapp.w4b	telcom	commu	telcomcommu
Teams	com.microsoft.teams	telcom		telcom
WhatsApp	com.whatsapp	telcom	commu	telcomcommu
imo	com.imo.android.imoim	telcom	commu	telcomcommu
Telegram	org.telegram.messenger	telcom	commu	telcomcommu
imo beta	com.imo.android.imoimbeta	telcom	commu	telcomcommu
imo HD	com.imo.android.imoimhd	telcom	commu	telcomcommu
Telegram	org.telegram.messenger.web	telcom	commu	telcomcommu
Viber	com.viber.voip	telcom	commu	telcomcommu
Botim	im.thebot.messenger	telcom	commu	telcomcommu
imo Lite	com.imo.android.imoimlite	telcom	commu	telcomcommu
Skype	com.skype.raider	telcom	commu	telcomcommu
Outlook	com.microsoft.office.outlook	email		email
Yahoo Mail	com.yahoo.mobile.client.android.mail	email		email
Email	com.samsung.android.email.provider	email		email
Rokomari	com.rokomari	shopping		shopping
foodpanda	com.global.foodpanda.android	shopping		shopping
Foodi	com.foodiBd	shopping		shopping
Bikroy	com.bikroy	shopping		shopping
Daraz	com.daraz.android	shopping		shopping
Alibaba.com	com.alibaba.intl.android.apps.poseidon	shopping		shopping
AliExpress	com.alibaba.aliexpresshd	shopping		shopping
Amazon Shopping	com.amazon.mShop.android.shopping	shopping		shopping
Galaxy Shop	com.samsung.android.galaxy	shopping		shopping
ব্লুস্টোর	com.blueboxgp.store.bluestore	shopping		shopping
Muslims Day	theoaktroop.appoframadan	region		region
Quran	com.kutblog.arabicbanglaquran	region		region
মুসলিম বাংলা	com.tos.namajtime	region		region
নামাজের সময়সূচী - বাংলাদেশ	com.crossappers.prayerapp	region		region
NID Wallet	bd.gov.nidw.nid.wallet	public		public
Online GD	com.opus_bd.lostandfound	public		public
DLRMS	com.softbdltd.eKhatian	public		public
BRTA DL Checker	bd.gov.brta.dl_checker	public		public
eJanata	com.jb.ejanata	public		public
Mi Mover	com.miui.huanji	phonebackup		phonebackup
Smart Switch	com.sec.android.easyMover	phonebackup		phonebackup
Clone Phone	com.coloros.backuprestore	phonebackup		phonebackup
Clone Phone	com.oneplus.backuprestore	phonebackup		phonebackup
Rocket	com.dbbl.mbs.apps.main	payment	mobilbank	paymentmobilbank
